Rank,Name_of_Empire,Peak_land_area(millinon mi^2),%_of_world_land_area
1,British Empire,13.71,26.35
2,Mongol Empire,9.27,17.81
3,Russian Empire,8.8,16.92
4,Qing Dynasty,5.68,10.91
5,Spanish Empire,5.29,10.17
6,Second French Colonial Empire,4.44,8.53
7,Abbasid Caliphate,4.29,8.24
7,Umayyad Caliphate,4.29,8.24
9,Yuan Dynasty,4.25,8.16
10,Xiongnu Empire,3.47,6.68
11,Empire of Brazil,3.22,6.19
12,Empire of Japan,2.86,5.49
13,Iberian Union,2.74,5.27
14,Eastern Han Dynasty,2.51,4.82
15,Ming Dynasty,2.51,4.82
16,Rashidun Caliphate,2.47,4.75
17,First Turkic Kaganate,2.32,4.45
17,Golden Horde Khanate,2.32,4.45
17,Western Han Dynasty,2.32,4.45
20,Achaemendi Empire,2.12,4.08
20,Second Portuguese Empire,2.12,4.08
